word_type	word_subtype	word	dual_category	lemma_freq	llfpm10	freq_bin	mds_x	mds_y
Neutral/positive colloquial anchor	Core	kedves	False	2335176.0	3.435334734040873	9	-0.6343125941307415	0.1707263827083331
Neutral/positive colloquial anchor	Core	kellemes	False	1038359.0	3.0833626470541016	7	-0.16422897647377738	0.5286252956585394
Neutral/positive colloquial anchor	Core	kitűnő	False	407282.0	2.676910332224121	4	-0.25887028879463736	0.6404417720973231
Neutral/positive colloquial anchor	Core	kiváló	False	1854362.0	3.3352096345932902	8	-0.16823317975834065	0.7228183702604583
Neutral/positive colloquial anchor	Core	mennyei	False	151013.0	2.2460294508169754	2	-0.7628208446178402	-0.2203172799683395
Neutral/positive colloquial anchor	Core	nagyszerű	False	590275.0	2.838069505417538	5	-0.45497646193618496	0.43652409143314563
Neutral/positive colloquial anchor	Core	nyugodt	False	897201.0	3.019904864508077	6	0.05709951763372956	0.6277679330730803
Neutral/positive colloquial anchor	Core	pazar	False	65047.0	1.880242387023966	1	-0.5467631032024418	0.46172687358567327
Neutral/positive colloquial anchor	Core	pompás	False	96998.0	2.0537778951905707	2	-0.6094977350571906	0.32768620830491896
Neutral/positive colloquial anchor	Core	príma	False	18064.0	1.323829040122935	1	-0.4039450247643175	0.5395448128331928
Neutral/positive colloquial anchor	Core	remek	False	1171360.0	3.1357055050513973	8	-0.33547986265477137	0.5390831882695817
Neutral/positive colloquial anchor	Core	szép	False	4831936.0	3.7511362888722295	10	-0.5324885373005386	0.3026871658475271
Neutral/positive colloquial anchor	Core	tökéletes	False	2037570.0	3.376127653244376	9	-0.2285176750720837	0.47141959211500817
Neutral/positive colloquial anchor	Core	vidám	False	402638.0	2.6719298756911067	3	-0.3497540951767225	0.30079108150769684
Neutral/positive colloquial anchor	Core	élvezetes	False	129338.0	2.17874125655333	2	-0.15294704335476905	0.6294997027473292
Pejorative colloquial anchor	Core	borzalmas	False	108279.0	2.101559351775278	4	-0.21393614886430867	-0.17714638039518954
Pejorative colloquial anchor	Core	borzasztó	False	141016.0	2.216283507044849	6	-0.3934304610181284	-0.11755104987634979
Pejorative colloquial anchor	Core	bosszantó	False	57384.0	1.825805933369423	2	0.2086564012352624	0.33508187034779807
Pejorative colloquial anchor	Core	csúnya	False	202124.0	2.3726329998081077	7	-0.11976426260438353	-0.008387040965496084
Pejorative colloquial anchor	Core	csüggesztő	False	1146.0	0.1261997331734133	1	-0.29114051380288286	-0.4140256919330799
Pejorative colloquial anchor	Core	feszült	False	93725.0	2.0388705646356304	4	0.26877644543823354	0.4024249843196954
Pejorative colloquial anchor	Core	fájdalmas	False	222222.0	2.4138021674719994	8	0.057443935413831	-0.02559707961730953
Pejorative colloquial anchor	Core	fárasztó	False	91901.0	2.030335352631299	3	0.13061213339566308	0.5253781454062756
Pejorative colloquial anchor	Core	félelmetes	False	141795.0	2.2186760324913855	6	-0.3409255173672179	-0.01880222530422378
Pejorative colloquial anchor	Core	förtelmes	False	8748.0	1.0089238899076416	1	-0.3163015274177676	-0.24986894558371836
Pejorative colloquial anchor	Core	ideges	False	111952.0	2.1160469721101074	5	0.15993438590712533	0.13383741093953722
Pejorative colloquial anchor	Core	idegesítő	False	78387.0	1.9612591591397237	3	0.08755002416247859	0.2309518578814838
Pejorative colloquial anchor	Core	ijesztő	False	111546.0	2.114469116795027	4	-0.06924817798810312	-0.08877231374668226
Pejorative colloquial anchor	Core	iszonyú	False	76296.0	1.949516885168421	3	-0.3430155006095865	-0.3157175324496298
Pejorative colloquial anchor	Core	kellemetlen	False	390815.0	2.6589863397090716	9	0.23501062670731165	0.2148427258460493
Pejorative colloquial anchor	Core	kínos	False	129761.0	2.180159299301913	5	0.018439548408079348	0.24120187138923949
Pejorative colloquial anchor	Core	rettenetes	False	142404.0	2.220537303954744	7	-0.32995360075857877	-0.1404000616645442
Pejorative colloquial anchor	Core	rossz	False	3359081.0	3.5932355919734342	10	0.1266262546714416	0.3387144889436567
Pejorative colloquial anchor	Core	rémes	False	31497.0	1.5652843059826993	2	-0.27070903419896175	-0.011389393584634132
Pejorative colloquial anchor	Core	siralmas	False	28141.0	1.5163546417170095	1	-0.1437825768991168	0.3004762724200487
Pejorative colloquial anchor	Core	szomorú	False	415845.0	2.6859465995616065	10	-0.23820392948424476	0.12640226745071814
Pejorative colloquial anchor	Core	szörnyű	False	210758.0	2.390799184200218	8	-0.2367901850859097	-0.18676014988440795
Pejorative colloquial anchor	Core	unalmas	False	245857.0	2.4576976935051955	9	-0.05978971792734128	0.3820884380594065
Pejorative colloquial anchor	Core	undorító	False	49103.0	1.758123142158786	2	-0.21405636038884102	-0.10479447433843116
